ema100, rdp5, rdp10, rdp15, rdp20, label
1290.6514, -0.006379858, 0.027284577, 0.006549099, -0.0147575205, up
1294.7407, 0.018440833, 0.0059307264, 0.03757842, -0.050696913, up
1298.7787, 0.015303772, 0.012532469, 0.036825623, -0.05135948, up
1299.8849, 0.009488804, -0.003255472, 0.018039716, -0.018038154, up
1298.3279, -0.009513177, 0.0057360544, 0.020246506, -0.01065358, up
1297.6844, 0.004319328, -0.006379858, 0.027284577, 0.006549099, up
1301.2694, 0.0034398672, 0.018440833, 0.0059307264, 0.03757842, up
1306.5717, 0.009772364, 0.015303772, 0.012532469, 0.036825623, down
1311.4774, 0.020539531, 0.009488804, -0.003255472, 0.018039716, down
1313.5157, 0.02288528, -0.009513177, 0.0057360544, 0.020246506, up
1317.8048, 0.030769568, 0.004319328, -0.006379858, 0.027284577, up
1319.2341, 0.0070993425, 0.0034398672, 0.018440833, 0.0059307264, up
1318.5326, -0.009075335, 0.009772364, 0.015303772, 0.012532469, up
1320.6963, -0.0013147021, 0.020539531, 0.009488804, -0.003255472, up
1322.1355, 0.004706145, 0.02288528, -0.009513177, 0.0057360544, up
1326.6299, 0.0072286995, 0.030769568, 0.004319328, -0.006379858, up
1329.5739, 0.012377844, 0.0070993425, 0.0034398672, 0.018440833, up
1334.2079, 0.02812888, -0.009075335, 0.009772364, 0.015303772, down
1338.6998, 0.020551449, -0.0013147021, 0.020539531, 0.009488804, down
1342.7719, 0.023473363, 0.004706145, 0.02288528, -0.009513177, down
1346.4657, 0.012367902, 0.0072286995, 0.030769568, 0.004319328, down
1348.5746, 0.011674831, 0.012377844, 0.0070993425, 0.0034398672, down
1349.0936, -0.0011605676, 0.02812888, -0.009075335, 0.009772364, up
1350.2526, -0.0013120576, 0.020551449, -0.0013147021, 0.020539531, up
1347.0181, -0.018380426, 0.023473363, 0.004706145, 0.02288528, up
1343.2228, -0.024389492, 0.012367902, 0.0072286995, 0.030769568, up
1341.2041, -0.017597515, 0.011674831, 0.012377844, 0.0070993425, up
1344.7136, 0.0056099202, -0.0011605676, 0.02812888, -0.009075335, up
1347.9908, 0.004583369, -0.0013120576, 0.020551449, -0.0013147021, down
1353.2528, 0.030148188, -0.018380426, 0.023473363, 0.004706145, down
1357.392, 0.034569673, -0.024389492, 0.012367902, 0.0072286995, down
1359.2015, 0.024986263, -0.017597515, 0.011674831, 0.012377844, down
1360.7192, 0.005917232, 0.0056099202, -0.0011605676, 0.02812888, up
1358.2509, -0.009345361, 0.004583369, -0.0013120576, 0.020551449, up
1357.6433, -0.013890771, 0.030148188, -0.018380426, 0.023473363, up
1354.9083, -0.021820286, 0.034569673, -0.024389492, 0.012367902, up
1355.933, -0.0046909577, 0.024986263, -0.017597515, 0.011674831, down
1359.0319, 0.0033948263, 0.005917232, 0.0056099202, -0.0011605676, down
1361.508, 0.017079776, -0.009345361, 0.004583369, -0.0013120576, down
1364.0503, 0.014027354, -0.013890771, 0.030148188, -0.018380426, down
1361.6403, 0.0059748576, -0.021820286, 0.034569673, -0.024389492, down
1353.1924, -0.029874343, -0.0046909577, 0.024986263, -0.017597515, up
1348.2278, -0.031397924, 0.0033948263, 0.005917232, 0.0056099202, up
1343.6799, -0.03348382, 0.017079776, -0.009345361, 0.004583369, up
1341.3002, -0.030882932, 0.014027354, -0.013890771, 0.030148188, up
1342.7601, -0.002514811, 0.0059748576, -0.021820286, 0.034569673, up
1345.5522, 0.028285543, -0.029874343, -0.0046909577, 0.024986263, up
1346.702, 0.017261798, -0.031397924, 0.0033948263, 0.005917232, up
